,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
131,1,1,1,2,1,-1.429986070553747,0.6708217067326878,0,0,0,0,0.5,-0.2009696074789313,Academics
132,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.0,-0.9861951696346355,Academics
133,1,1,1,1,1,1.5415614168230682,-0.7678345418887709,0,0,0,1,0.5,-0.9861951696346355,Academics
134,1,1,1,0,1,-0.43947024142814195,-0.04850641757804155,1,0,0,0,0.5,-0.9861951696346355,Academics
135,1,1,1,3,1,-0.43947024142814195,-0.04850641757804155,0,0,0,1,0.5,-0.9861951696346355,Academics
136,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
138,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,1,0,0,1,0.0,-0.9861951696346355,Academics
140,1,1,1,2,1,1.5415614168230682,0.6708217067326878,0,0,0,0,0.5,-0.9861951696346355,Academics
141,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,0,0,0,1,0.5,-0.9861951696346355,Academics
142,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.0,-0.2009696074789313,Academics
143,1,1,1,0,1,-1.429986070553747,-0.7678345418887709,1,0,0,1,0.5,-0.9861951696346355,Academics
144,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
145,1,1,1,1,1,1.5415614168230682,1.3901498310434173,0,0,0,0,0.0,-0.9861951696346355,Academics
146,1,1,1,2,1,-0.43947024142814195,-1.4871626661995003,1,0,0,1,0.5,-0.9861951696346355,Academics
147,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,1,0.5,-0.9861951696346355,Academics
148,1,1,1,2,1,-0.43947024142814195,-1.4871626661995003,0,0,0,1,0.0,-0.9861951696346355,Academics
150,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,1,0,0,1,0.5,-0.9861951696346355,Academics
151,1,1,1,2,0,-0.43947024142814195,-0.04850641757804155,0,0,0,1,0.0,0.5842559546767729,Academics
152,1,1,1,3,1,-0.43947024142814195,-1.4871626661995003,1,0,0,0,0.0,-0.9861951696346355,Academics
153,1,1,1,0,1,1.5415614168230682,-0.04850641757804155,0,0,1,1,0.0,-0.9861951696346355,Academics
154,1,1,1,3,1,-1.429986070553747,-0.04850641757804155,1,0,1,0,0.0,-0.2009696074789313,Academics
155,1,1,1,3,1,1.5415614168230682,0.6708217067326878,0,0,0,1,0.5,-0.9861951696346355,Academics
157,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,1,0,1,1,0.5,0.5842559546767729,Academics
158,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,1,0,0.0,-0.9861951696346355,Academics
159,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,1,0,1,1,0.0,-0.9861951696346355,Academics
160,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,1,0,1,0,0.0,-0.9861951696346355,Academics
161,1,1,1,1,1,1.5415614168230682,-0.04850641757804155,1,0,1,1,0.5,-0.9861951696346355,Academics
162,1,1,1,3,1,-2.420501899679352,-0.7678345418887709,1,0,1,1,0.5,-0.9861951696346355,Academics
163,1,1,1,2,1,-1.429986070553747,-0.7678345418887709,1,0,1,0,0.0,-0.9861951696346355,Academics
165,1,1,0,1,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.5,-0.2009696074789313,Academics
166,1,1,1,1,1,-1.429986070553747,-0.04850641757804155,0,0,0,1,0.5,-0.9861951696346355,Academics
167,1,1,1,0,1,-1.429986070553747,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
169,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
171,1,1,1,3,1,1.5415614168230682,0.6708217067326878,0,0,0,0,0.0,-0.2009696074789313,Academics
172,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
173,1,1,1,3,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
174,1,1,1,2,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
176,1,1,1,3,1,-1.429986070553747,-0.7678345418887709,0,0,0,1,0.0,-0.9861951696346355,Academics
177,1,1,1,2,1,-1.429986070553747,-0.04850641757804155,0,0,0,1,0.0,0.5842559546767729,Academics
178,1,1,1,2,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.5,2.1547070789881815,Academics
179,1,1,1,3,1,-2.420501899679352,-0.7678345418887709,0,0,0,0,0.0,0.5842559546767729,Academics
180,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
181,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
182,1,1,1,3,1,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
185,1,1,1,0,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
187,1,1,1,2,1,1.5415614168230682,0.6708217067326878,0,0,0,0,0.0,-0.2009696074789313,Academics
188,1,1,1,3,1,1.5415614168230682,0.6708217067326878,0,0,0,0,0.5,1.3694815168324772,Academics
189,1,1,1,1,1,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
191,1,1,1,2,1,-1.429986070553747,0.6708217067326878,0,0,0,0,0.5,-0.9861951696346355,Academics
192,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
194,1,1,1,2,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
195,1,1,1,1,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
197,1,1,1,2,1,0.5510455876974631,1.3901498310434173,0,0,0,0,0.0,-0.9861951696346355,Academics
198,1,1,1,3,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
199,1,1,1,2,1,-2.420501899679352,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
200,1,1,1,2,1,-0.43947024142814195,1.3901498310434173,0,0,0,0,0.0,0.5842559546767729,Academics
201,1,1,1,0,1,0.5510455876974631,1.3901498310434173,0,0,0,0,0.0,-0.9861951696346355,Academics
202,1,1,1,2,0,-0.43947024142814195,0.6708217067326878,0,0,0,0,0.0,-0.9861951696346355,Academics
203,1,1,1,2,1,-1.429986070553747,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
204,1,1,1,1,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
205,1,1,1,3,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
206,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
207,1,1,1,3,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
209,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,1.3694815168324772,Academics
210,1,1,1,2,1,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
211,1,1,1,2,1,-0.43947024142814195,0.6708217067326878,0,0,0,0,0.0,-0.9861951696346355,Academics
212,1,1,1,0,1,-1.429986070553747,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
213,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
214,1,1,1,2,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
217,1,1,1,3,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
219,1,1,1,3,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
220,1,1,1,3,1,0.5510455876974631,0.6708217067326878,0,0,0,0,0.0,2.1547070789881815,Academics
221,1,1,1,1,1,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
222,1,1,1,0,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
224,1,1,1,0,0,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
225,1,1,1,3,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
226,1,1,1,2,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
227,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,0.5842559546767729,Academics
228,1,1,1,2,0,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
229,1,1,1,0,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
230,1,1,1,2,0,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
231,1,1,1,0,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
232,1,1,0,3,0,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
233,1,1,1,0,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
237,1,1,1,0,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
238,1,1,1,3,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
239,1,1,0,2,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
242,1,1,1,2,1,-1.429986070553747,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
243,1,1,1,0,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
244,1,1,1,3,1,-0.43947024142814195,0.6708217067326878,0,0,0,0,0.0,0.5842559546767729,Academics
246,1,1,1,0,1,1.5415614168230682,1.3901498310434173,0,0,0,0,0.0,-0.9861951696346355,Academics
255,1,1,1,2,1,0.5510455876974631,0.6708217067326878,0,0,0,0,0.0,-0.9861951696346355,Academics
256,1,1,1,1,0,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
259,1,1,1,3,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
263,1,1,1,2,1,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
265,1,1,1,0,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
266,1,1,1,3,0,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
270,1,1,1,3,0,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
272,1,1,1,0,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
273,1,1,1,2,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
275,1,1,1,2,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
277,1,1,1,0,1,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
280,1,1,1,2,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,0.5842559546767729,Academics
282,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,0.5842559546767729,Academics
285,1,1,1,3,0,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
287,1,1,1,3,0,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
288,1,1,1,2,1,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
290,1,1,1,2,0,-1.429986070553747,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
293,1,1,1,3,1,0.5510455876974631,1.3901498310434173,0,0,0,0,0.0,-0.2009696074789313,Academics
296,1,1,1,0,1,0.5510455876974631,0.6708217067326878,0,0,0,0,0.0,-0.9861951696346355,Academics
298,1,1,1,2,0,0.5510455876974631,-0.04850641757804155,0,0,0,0,0.0,-0.9861951696346355,Academics
300,1,1,1,0,1,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
303,1,1,1,3,1,0.5510455876974631,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
305,1,1,1,2,0,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,-0.9861951696346355,Academics
306,1,1,1,2,0,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,0.5842559546767729,Academics
307,1,1,1,3,1,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,0.5842559546767729,Academics
308,1,1,1,1,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
309,1,1,1,0,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
311,1,1,1,2,0,0.5510455876974631,-0.7678345418887709,0,0,0,0,0.0,-0.2009696074789313,Academics
